ID,Molecule,Source,D,P,rho,Delta Hf,BDE,rhoBCP,SAscore,SYBA,Route
Q01,AL05_Target_0040,AL05,9.432,41.07,1.927,136.3,72.0,0.216,4.31,8.32,not solved
Q02,AL06_Target_0044,AL06,9.024,36.68,1.847,125.7,72.3,0.250,4.40,2.05,not solved
Q03,AL05_Target_0272,AL05,9.145,37.87,1.864,197.1,63.5,0.211,4.07,7.89,not solved
Q04,AL05_Target_0288,AL05,9.154,38.12,1.879,114.0,82.2,0.229,4.45,3.48,not solved
Q05,AL05_Target_0043,AL05,9.317,40.08,1.928,112.1,80.1,0.235,4.23,8.10,not solved
Q06,AL05_Target_0215,AL05,8.762,34.57,1.846,133.3,63.0,0.224,4.22,3.79,not solved
Q07,AL05_Target_0328,AL05,9.512,41.63,1.916,99.6,77.4,0.182,4.62,-9.73,not solved
Q08,AL06_Target_0001,AL06,9.083,37.40,1.867,110.6,80.4,0.218,4.36,4.63,not solved
Q09,AL07_Target_0264,AL07,8.808,34.85,1.838,160.2,71.3,0.213,4.70,6.83,not solved
Q10,AL05_Target_0334,AL05,8.750,34.49,1.847,131.4,71.8,0.240,4.35,7.52,not solved
Q11,AL05_Target_0476,AL05,8.646,33.60,1.841,121.0,68.2,0.227,4.37,4.40,not solved
Q12,AL05_Target_0073,AL05,9.413,40.91,1.928,133.1,32.5,0.212,4.34,7.54,not solved
Q13,AL05_Target_0277,AL05,9.008,36.62,1.853,121.0,68.5,0.208,4.64,-10.75,not solved
Q14,AL05_Target_0116,AL05,8.655,33.34,1.810,147.9,67.1,0.207,4.40,4.17,not solved
Q15,AL05_Target_0059,AL05,9.161,37.94,1.858,123.5,62.7,0.203,4.34,3.38,not solved
Q16,AL07_Target_0006,AL07,9.056,37.36,1.883,114.0,32.3,0.221,4.32,0.70,not solved
Q17,AL05_Target_0218,AL05,9.464,41.14,1.910,149.6,56.0,0.205,4.32,6.71,not solved
Q18,AL05_Target_0498,AL05,9.902,44.82,1.894,177.0,79.4,0.213,4.80,-9.58,not solved
Q19,AL05_Target_0225,AL05,8.713,34.02,1.831,146.2,69.3,0.239,4.29,7.22,not solved
Q20,AL08_Target_0205,AL08,8.792,35.27,1.889,75.9,57.7,0.213,4.02,11.57,not solved
