ID,C,H,N,O,E_spe(Eh),ZPE(Eh),Thermal_H(Eh),H_298(Eh),DeltaHf(kcal/mol)
c10h16n2o4,10,16,2,4,-799.634761310998,0.26168387,0.00094421,-799.3721332309981,-187.26421644471156
c11h15no2,11,15,1,2,-632.083098724466,0.24541919,0.00094421,-631.8367353244661,-58.90885591371671
c27h27n3o2,27,27,3,2,-1357.03975184703,0.48741148,0.00094421,-1356.55139615703,-43.31874180989598
c2h2n4o7,2,2,4,7,-821.457501994763,0.08178569,0.00094421,-821.3747720947631,-45.12395402719892
c2h3no4,2,3,1,4,-432.912234084885,0.06542433,0.00094421,-432.845865544885,-103.15000856739988
c2h5n5o3,2,5,5,3,-577.48943160995,0.14252817,0.00094421,-577.34595922995,87.12761162016994
c2h6n4o4,2,6,4,4,-598.529212678598,0.11665145,0.00094421,-598.4116170185981,15.947156287975929
c33h39n3o2,33,39,3,2,-1592.331405207011,0.65242443,0.00094421,-1591.6780365670108,-73.08994968612114
c3h5n3o6,3,5,3,6,-731.479049329046,0.11174994,0.00094421,-731.3663551790461,-25.723581593797462
c3h5n3o9,3,5,3,9,-956.740271715674,0.12622977,0.00094421,-956.613097735674,-77.40273542947625
c3h6n6o6,3,6,6,6,-896.003394596104,0.14383479,0.00094421,-895.8586155961041,45.817056353626356
c4h4n5o9,4,5,5,9,-1104.129315127597,0.14153482,0.00094421,-1103.986836097597,-70.33073816462058
c4h4n8o14,4,4,8,14,-1642.780139246393,0.1679369,0.00094421,-1642.611258136393,-3.4721651388099417
c4h8n8o8,4,8,8,8,-1194.67918329801,0.19362886,0.00094421,-1194.48461022801,57.038147697358795
c5h6n6o10,5,6,6,10,-1272.415063715426,0.17081108,0.00094421,-1272.243308425426,-19.652851146700982
c5h8n4o12,5,8,4,12,-1314.484918912547,0.19047752,0.00094421,-1314.293497182547,-111.10595200998341
c6h11no4,6,11,1,4,-589.900584996733,0.18022598,0.00094421,-589.719414806733,-199.83950622010912
c6h14n2o,6,14,2,1,-420.847009487478,0.2033165,0.00094421,-420.64274877747795,-3.1749754963991563
c6h16n2o6,6,15,1,3,-517.056418523138,0.22007147,0.00094421,-516.835402843138,-119.66206390971752
c6h16n4o4,4,8,2,4,-566.731983480762,0.13894587,0.00094421,-566.592093400762,-187.6423390062597
c6h3n3o8,6,3,3,8,-994.625330361872,0.11762587,0.00094421,-994.5067602818721,-81.14811078150069
c6h6n12o12,6,6,12,12,-1788.453144087258,0.22318243,0.00094421,-1788.229017447258,116.97415245115883
c7h10n4o11,7,10,4,11,-1316.784661098124,0.21928623,0.00094421,-1316.564430658124,-183.44138337464346
c7h5n5o8,7,5,5,8,-1143.04609247743,0.15594084,0.00094421,-1142.88920742743,14.131872752064282
c8h8n6o16,8,8,6,16,-1838.334336485718,0.23355679,0.00094421,-1838.0998354857181,-199.5660061430683
c9h11no3,9,11,1,3,-628.833230640006,0.19395695,0.00094421,-628.6383294800061,-125.75799220214572
ch4n2o,1,4,2,1,-224.879576479962,0.06154321,0.00094421,-224.817089059962,-49.40422944306886
chn3o6,1,1,3,6,-653.023974608904,0.05535886,0.00094421,-652.9676715389041,-1.2812723021156671
co2,1,0,0,2,-188.314665649761,0.01175999,0.00094421,-188.301961449761,-101.51937481075129
h2,0,2,0,0,-1.160039539613,0.00993652,0.00094421,-1.1491588096130003,0.07433091720035169
h2o,0,2,0,1,-76.313055488542,0.02120096,0.00094421,-76.290910318542,-54.49134298888792
n2,0,0,2,0,-109.360620500253,0.00567059,0.00094421,-109.35400570025301,0.2596149103906733
nh4no3,0,4,2,3,-336.960487844287,0.06412468,0.00094421,-336.895418954287,-48.98240082657935
o2,0,0,0,2,-150.066012830185,0.00382575,0.00094421,-150.061242870185,30.33889519396556
